,Accounts Receivable Turnover,Debt/Equity,Accounts Payable Turnover,Average Payables,Capex to Sales,Inventory Turnover,ROIC,Working Capital,Book value per Share,P/E ratio,Average Receivables,Price to Tangible BV,Average Inventory,P/FCF ratio,Average Common Equity,P/S ratio,Average Assets,Capital Expenditures,Average Days of Payables,EV/Sales,P/B ratio,ROE,Free Cash Flow,Average Days of Receivables,Interest Debt per Share,Capex/Depreciation,Net Profit Margin,Earnings Yield,"Selling, General and Administrative Expense of Revenue",Return on Tangible Assets,Intangible Assets out of Total Assets,Interest Coverage,Days of Inventory on Hand,Net Current Asset Value,Free Cash Flow per Share,Net Debt/EBITDA,EV/FCF,EV/EBIT,ROA,Current Ratio,Free Cash Flow Yield,Asset Turnover,Cash ROIC,Graham Net Nets,EV/Operating CF,Operating CF/Net income,Quick Ratio,Graham Number,Depreciation/Fixed assets,Share Based Compensation of Revenue,Shareholders Equity per Share,Cash per Share,Capex per Share,P/Operating CF,Revenue per Share,EV/EBITDA,Operating CF per Share,Debt/Assets,Research and Development Expense of Revenue,year,ticker
8,9.889,0.0831,4.3198,15551500.0,0.0412,14.3392,0.2934,45854000.0,35.4074,73.3913,16919000.0,0.0,4685000.0,7.6025,-131267000.0,0.2522,110209500.0,-6892000.0,82.7646,0.0795,0.0,-0.0043,8743000.0,37.6514,2.9429,-1.6171,0.0034,0.0136,0.3105,0.0104,0.2189,0.0,37.2286,28282000.0,3.8402,-1.42,2.3951,0.7381,0.0051,3.0157,0.1315,1.5181,0.0578,0.6317,1.0655,27.7709,2.6302,0.0,0.5242,0.0195,35.4074,18.699,-3.0272,12.8538,73.4888,0.5887,6.8674,0.0554,0.1386,2014,ALRM
9,7.6968,0.1214,3.5339,15551500.0,0.0175,11.7306,0.13,32658000.0,42.8039,73.3913,16919000.0,0.0,4685000.0,7.6025,-131267000.0,0.2522,49743500.0,-2275000.0,105.3996,0.0795,0.0,-0.0009,8379000.0,46.4694,5.1975,-0.1534,0.0009,0.0136,0.3947,0.0034,0.2457,0.0,16.7231,17735000.0,5.8067,-1.1722,2.3951,0.7381,0.0025,2.4325,0.1315,2.6179,0.0687,0.6317,1.0655,87.3279,2.2003,0.0,4.1347,0.0065,42.8039,23.273,-1.5766,12.8538,90.2439,0.5887,7.3832,0.0754,0.1005,2013,ALRM
0,4.8898,6.1075,10.7477,131216000.0,0.0065,6.4277,-0.0151,365947000.0,0.8295,0.0,334888000.0,0.0,219406000.0,21.8076,27538000.0,1.7429,1424515500.0,-10619000.0,44.11,2.1246,22.9645,-1.5841,130874000.0,94.6666,5.0664,-0.0984,-0.0266,-0.0131,0.0921,-0.1121,0.4704,0.0,60.3452,-750562000.0,0.8735,6.9628,26.5843,0.0,-0.0306,1.7865,0.0459,1.1495,0.1163,-0.263,24.5892,-3.2436,1.2006,0.0,4.6568,0.0091,0.8295,0.8938,-0.0709,29.2813,10.9302,38.7511,0.9444,0.4449,0.0,2022,ARRY
1,4.4804,-10.3368,8.7063,88494500.0,0.0039,4.7543,-0.0555,606728000.0,-0.5324,0.0,190456500.0,0.0,162056000.0,0.0,-75052000.0,2.39,899501500.0,-3357000.0,43.5854,2.7975,0.0,0.881,-266544000.0,104.8229,5.5034,-0.0819,-0.0775,-0.03,0.0949,-0.1071,0.2139,0.0,97.4268,-360151000.0,-2.0506,21.4079,-8.9559,0.0,-0.0735,3.4734,-0.1307,0.9487,-0.2701,-0.1766,-9.0701,3.9806,2.4978,2.3728,3.833,0.0161,-0.5324,2.8286,-0.0258,-20.9497,6.5648,146.982,-2.0248,0.6259,0.0,2021,ARRY
2,7.4993,-5.294,6.076,110246500.0,0.0015,5.0274,0.249,86072000.0,-0.666,66.3692,116365500.0,0.0,133241500.0,0.0,112050500.0,6.0047,789802500.0,-1338000.0,46.3085,6.3712,0.0,0.5272,-123543000.0,56.8215,3.5259,-0.0434,0.0677,0.0151,0.0638,0.6163,0.4085,0.0,64.547,-361748000.0,-1.0171,2.5374,-45.004,58.3952,0.0748,1.2977,-0.0236,1.1049,-0.2895,-0.069,-45.4967,-2.0687,0.845,0.0,3.1553,0.0055,-0.666,0.8928,-0.011,50.2429,7.1844,44.1082,-1.0061,0.6528,0.0,2020,ARRY
3,8.1559,0.3205,6.0075,82753000.0,0.0026,4.8973,1.2564,29064000.0,2.5418,41.8966,79439500.0,42.4804,101512000.0,25.7934,284500000.0,4.7707,461790500.0,-1697000.0,99.4889,4.7412,11.5935,0.1397,384376000.0,54.5777,0.8146,-0.0542,0.0613,0.0239,0.0636,1.0005,0.3175,0.0,108.6796,-303897000.0,3.2033,-2.2975,25.6339,34.5525,0.0861,1.0492,0.0388,1.403,0.4914,0.0205,25.4057,9.7138,0.7757,0.0,2.9347,0.0012,2.5418,3.0106,-0.0141,204.3823,5.3994,25.4649,3.2174,0.1058,0.0,2019,ARRY
4,3.6576,0.0,3.3642,83000000.0,0.0221,2.751,-2.1252,39000000.0,0.0,41.8966,79500000.0,42.4804,101500000.0,25.7934,284500000.0,4.7707,0.0,-6430000.0,39.2153,4.7412,11.5935,-0.2136,-18157000.0,77.8244,0.4917,-0.2045,-0.209,0.0239,0.1612,-1.2153,0.0,0.0,71.8947,174000000.0,-0.1513,-0.6047,25.6339,34.5525,0.0,1.2889,0.0388,0.0,-0.2273,0.0205,25.4057,0.193,0.763,0.0,2.8583,0.0,0.0,0.3417,-0.0536,204.3823,2.4233,25.4649,-0.0977,0.0,0.0,2018,ARRY
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ARRY
0,11.4134,0.1026,131.9381,3245500.0,0.0052,95.1567,0.0,1463890000.0,2.7007,0.0,65555000.0,2.1735,4500000.0,0.0,1523191000.0,4.2789,1800362000.0,-3919000.0,3.2374,2.2991,2.1735,-0.1213,-16885000.0,37.2012,0.2772,-0.9489,-0.247,-0.0579,0.5915,-0.1256,0.0,0.0,4.262,1449379000.0,-0.031,7.2021,-112.5399,0.0,-0.1026,6.175,-0.0048,0.4156,-0.0063,0.4527,-132.6679,0.0702,6.0406,0.0,0.5551,0.2148,2.7007,2.9932,-0.0072,214.4616,1.3719,0.0,-0.0238,0.0854,0.0,2022,MQ
1,10.7564,0.0846,112.9456,2527500.0,0.0053,0.0,0.0,1560757000.0,4.3374,0.0,48080500.0,3.9586,0.0,114.8561,679854500.0,12.0434,1144029000.0,-2743000.0,3.4433,8.9978,3.9586,-0.2411,54229000.0,38.7122,0.3671,-0.5841,-0.317,-0.0268,0.6552,-0.1044,0.0,0.0,5.1144,1541773000.0,0.1495,10.0126,85.8111,0.0,-0.1433,7.5587,0.0087,0.4521,0.0138,0.2475,81.6796,-0.3475,7.409,0.0,0.4848,0.2758,4.3374,4.7091,-0.0076,111.9856,1.4257,0.0,0.1571,0.0728,0.0,2021,MQ
2,8.822,-0.436,65.658,2625500.0,0.0082,0.0,0.0,289808000.0,-1.7385,0.0,32905500.0,0.0,0.0,53.8061,-206061500.0,11.413,340435500.0,-2375000.0,5.0012,10.5892,0.0,0.2315,47898000.0,51.9401,0.7581,-0.5877,-0.1643,-0.0026,0.4777,-0.1594,0.0,0.0,0.0,-240491000.0,0.3896,6.6195,49.922,0.0,-0.1401,3.0539,0.0186,0.8527,0.1584,-0.0605,48.333,-1.0541,2.9727,1.8763,0.4264,0.0972,-1.7385,3.076,-0.0193,223.4626,2.3614,0.0,0.4089,0.2036,0.0,2020,MQ
3,4.2766,-0.2407,1.4529,57000000.0,0.0343,0.0,0.0,132894000.0,-1.7427,0.0,33500000.0,0.0,0.0,53.8061,-206000000.0,11.413,111595500.0,-4908000.0,12.7332,10.5892,0.0,0.5939,-20336000.0,62.4235,0.4194,-1.9016,-0.854,-0.0026,0.6809,-0.8531,0.0,0.0,0.0,-224392000.0,-0.1786,2.0543,49.922,0.0,-1.0964,3.0664,0.0186,1.2838,-2.0412,-0.0605,48.333,0.1261,2.9213,0.0,0.2453,0.1519,-1.7427,1.4349,-0.0431,223.4626,1.2584,0.0,-0.1355,0.2139,0.0,2019,MQ
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,MQ
0,0.0,0.0762,0.0,0.0,0.2206,0.0,-1.4133,1035000000.0,1.5608,0.0,,1.1371,,0.0,2563000000.0,19.4982,2845500000.0,-15000000.0,0.0,5.3071,0.7432,-0.6723,-523000000.0,0.0,0.119,-0.0132,-25.3382,-1.3017,1.8971,-1.5302,0.3088,0.0,0.0,901000000.0,-0.4576,1.3478,-0.69,0.0,-0.6055,13.4699,-0.3945,0.0239,-0.1983,0.6795,-0.7104,0.2948,13.2651,0.0,12.4835,2.2941,1.5608,0.9633,-0.0131,-9.4593,0.0595,0.0,-0.4444,0.068,9.9559,2022,AUR
1,0.0,0.044,0.0,7251000.0,0.5854,0.0,-0.2431,1586000000.0,5.3816,0.0,,4.3404,,0.0,1532710500.0,0.0,2154442500.0,-48000000.0,0.0,0.0,2.0923,-0.4926,-612000000.0,191.4024,0.2367,-3.0,-9.2073,-0.0249,1.4146,-0.4494,0.4691,0.0,0.0,1329000000.0,-0.9855,2.0462,-9.0351,0.0,-0.3504,18.4286,-0.0875,0.0381,-0.129,0.1901,-9.804,0.747,18.1648,0.0,0.1702,2.6829,5.3816,2.5926,-0.0773,-48.8484,0.132,0.0,-0.9082,0.0398,8.5,2021,AUR
2,0.0,-0.376,2.2968,7500000.0,0.0,0.0,0.0,374495000.0,-1.0206,0.0,,0.0,,0.0,1532500000.0,0.0,309442500.0,-7000000.0,137.7702,0.0,0.0,-0.1396,-199000000.0,0.0,0.3838,-2.3333,0.0,0.0,0.0,-0.5553,0.1337,0.0,0.0,-489018000.0,-0.7343,1.3187,0.0,0.0,-0.6916,12.7209,0.0,0.0,-0.9439,0.0,0.0,0.8972,12.1288,0.0,0.2753,0.0,-1.0206,1.43,-0.0258,0.0,0.0,0.0,-0.7085,0.168,0.0,2020,AUR
3,0.0,0.0,0.0,0.0,0.1951,0.0,0.0,0.0,0.0,0.0,,967.11,,0.0,0.0,0.0,0.0,-3824000.0,0.0,0.0,967.11,0.0,-98550000.0,0.0,0.0,-2.0817,-4.7996,0.0,1.3056,0.0,0.0,0.0,0.0,0.0,-0.3874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2011,0.0,1.0069,0.0,0.0,0.0,1.4353,0.0,0.0,-0.015,-32.029,0.077,0.0,-0.3724,0.0,5.4777,2019,AUR
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,AUR
0,5.8216,0.7943,13.2783,14733000.0,0.0096,3.5178,0.078,100918000.0,2.6288,22.3738,56160000.0,15.7111,55611000.0,75.5078,146745500.0,8.3838,510654500.0,-3154000.0,17.6894,9.0882,9.1067,0.8696,36301000.0,75.1212,2.088,-0.2656,0.3903,0.0447,0.171,1.0834,0.2127,0.0,135.9293,-140366000.0,0.3171,2.9448,81.8519,44.7958,0.2499,2.9178,0.0132,0.6402,0.0412,-0.0512,75.3088,0.3092,1.4453,7.9555,0.7039,0.0493,2.6288,0.0766,-0.0275,79.5857,2.8555,37.9943,0.3446,0.4019,0.0,2022,SHLS
1,5.6234,-32.9492,7.5431,17309500.0,0.0194,4.882,0.0965,61894000.0,-0.0755,0.0,37915000.0,0.0,26744500.0,0.0,-95810500.0,11.3138,310862000.0,-4126000.0,55.8681,12.449,0.0,-0.0245,-8209000.0,77.0908,2.4887,-0.2575,0.011,0.0,0.1777,0.0303,0.3158,0.0,107.2577,-340464000.0,-0.0827,4.6321,-323.3383,73.258,0.0076,2.9615,-0.0034,0.6859,-0.0804,-0.1411,-650.0817,-1.7389,1.5858,0.0,1.0288,0.0529,-0.0755,0.0504,-0.0416,929.2129,2.1478,50.7958,-0.0411,0.5794,0.0,2021,SHLS
2,5.7932,-1.9489,8.7118,12508500.0,0.0184,9.0981,0.1415,32046000.0,-1.1488,1100.0,30297500.0,0.0,11977500.0,97.6565,-17108500.0,28.2902,191458500.0,-3236000.0,49.0164,30.2773,0.0,-1.9736,50846000.0,64.0463,2.2388,-0.3317,0.1924,0.0009,0.1197,0.7536,0.6255,0.0,50.6476,-323286000.0,0.3172,7.4154,104.5156,142.5636,0.1764,2.3297,0.0102,0.9167,0.2236,-0.0651,98.2619,1.6017,1.6958,0.0,0.7644,0.047,-1.1488,0.0628,-0.0202,310.9816,1.0951,112.9912,0.3374,1.8372,0.0,2020,SHLS
3,5.1786,0.1738,12.1036,8285500.0,0.0119,10.6821,0.0997,21970000.0,1.6656,1100.0,27902500.0,0.0,9388000.0,97.6565,144094000.0,28.2902,186570000.0,-1719000.0,37.7906,30.2773,0.0,0.1745,34463000.0,75.2679,0.2895,-0.1868,0.174,0.0009,0.0627,0.7638,0.6937,0.0,32.1528,8810000.0,0.3829,0.5251,104.5156,142.5636,0.1348,1.8952,0.0102,0.7745,0.1379,-0.0651,98.2619,1.439,1.5028,0.0,0.8405,0.0,1.6656,0.0787,-0.0191,310.9816,1.6055,112.9912,0.402,0.1389,0.0,2019,SHLS
4,3.7183,0.2858,9.1222,8285500.0,0.0135,8.0509,0.039,25758000.0,1.5365,1100.0,27902500.0,0.0,9388000.0,97.6565,144094000.0,28.2902,92766500.0,-1405000.0,29.883,30.2773,0.0,0.06,1596000.0,91.498,0.4391,-0.1556,0.0833,0.0009,0.0858,0.2391,0.7445,0.0,48.0118,-10258000.0,0.0177,1.9591,104.5156,142.5636,0.0932,3.2927,0.0102,1.1184,-0.0416,-0.0651,98.2619,0.3471,2.3245,0.0,0.8676,0.0,1.5365,0.0012,-0.0156,310.9816,1.1528,112.9912,0.0333,0.213,0.0,2018,SHLS
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,SHLS
0,6.2034,0.3932,5.9184,215153500.0,0.011,6.4556,-0.0032,331012000.0,26.4197,0.0,289447000.0,26.5493,197250000.0,490.9585,1167157500.0,1.2996,2385934000.0,-19747000.0,67.9847,1.448,1.9584,-0.0083,4753000.0,57.0065,10.3884,-0.1816,-0.0054,-0.0043,0.1618,-0.0207,0.4641,0.0,65.5548,-356938000.0,0.1054,2.6309,547.0323,0.0,-0.0041,1.6639,0.002,0.7526,-0.0621,-0.153,106.1243,-2.5175,0.9676,0.0,0.776,0.0122,26.4197,4.479,-0.4378,-179.0887,39.8121,25.666,0.5432,0.197,0.1031,2022,ITRI
1,5.9303,0.4089,6.891,204384000.0,0.0175,8.0902,-0.0342,248585000.0,25.7953,0.0,334143500.0,0.0,174088000.0,25.2723,991515950.0,1.5319,2500406500.0,-34682000.0,50.0511,1.6856,2.6563,-0.082,120112000.0,54.9753,10.5467,-0.3387,-0.041,-0.0258,0.1517,-0.1973,0.4977,0.0,42.9683,-501102000.0,2.7113,13.1843,27.8087,0.0,-0.0325,1.4958,0.0396,0.7925,-0.0047,-0.1651,21.5781,-1.905,0.9196,0.0,0.6275,0.0119,25.7953,3.6699,-0.7829,222.4302,44.7297,144.5516,3.4941,0.1952,0.0995,2021,ITRI
2,5.1577,1.096,5.7789,271883500.0,0.0213,7.6592,-0.0042,380363000.0,20.8748,0.0,421376500.0,0.0,205136500.0,60.9778,820543900.0,1.7762,2657432000.0,-46208000.0,50.0949,2.1047,4.5941,-0.0706,63306000.0,62.1102,22.8787,-0.4556,-0.0267,-0.015,0.1274,-0.0985,0.4852,0.0,42.3678,-836488000.0,1.5727,7.844,72.2564,0.0,-0.0218,1.6917,0.0164,0.8178,-0.0499,-0.2167,41.7688,-1.8896,1.0488,0.0,0.488,0.0115,20.8748,5.1408,-1.1479,99.126,53.9922,50.2528,2.7206,0.3533,0.0893,2020,ITRI
3,5.4994,1.1856,5.4857,319039500.0,0.0243,7.8032,0.0518,325860000.0,20.2451,67.7016,455043000.0,0.0,224285000.0,29.6253,767431450.0,1.327,2658411500.0,-60749000.0,68.4322,1.6465,4.1467,0.0639,112091000.0,68.9789,24.0035,-0.5061,0.0196,0.0148,0.1386,0.0877,0.476,0.0,47.5285,-909775000.0,2.8337,3.164,36.7586,31.0538,0.0184,1.4854,0.0338,0.9413,-0.0318,-0.274,23.8388,3.5269,0.9277,23.7663,0.5147,0.0108,20.2451,3.7897,-1.5358,74.2228,63.264,16.3042,4.3695,0.3506,0.0808,2019,ITRI
4,5.69,1.385,5.5959,294108500.0,0.0252,7.941,-0.019,243434000.0,18.7047,0.0,417595000.0,0.0,207254500.0,37.2638,769840000.0,0.781,2357564500.0,-59952000.0,68.74,1.1583,2.5282,-0.1289,49803000.0,67.1532,25.9052,-0.4628,-0.0418,-0.0539,0.1781,-0.2112,0.5267,0.0,48.9404,-978793000.0,1.2691,11.226,55.2628,0.0,-0.0421,1.373,0.0268,1.0079,-0.0624,-0.5274,25.0763,-1.1058,0.854,0.0,0.5718,0.0132,18.7047,3.0634,-1.5277,43.7989,60.5473,34.4674,2.7967,0.3897,0.0875,2018,ITRI
5,5.3852,0.7612,5.8143,230714000.0,0.0245,7.5175,0.0779,341959000.0,20.8416,46.8243,374767500.0,17.3225,178442000.0,18.8835,727992500.0,1.3273,1841979000.0,-49495000.0,75.7146,1.5438,3.3251,0.0787,141859000.0,71.9853,15.865,-0.77,0.0284,0.0214,0.1612,0.1056,0.3091,0.0,52.7414,-450773000.0,3.6699,1.9939,21.9639,20.1177,0.0311,1.6734,0.053,1.0957,-0.0059,-0.1683,16.2828,3.3396,1.131,26.3444,0.3202,0.0106,20.8416,4.5602,-1.2804,34.856,52.2105,14.217,4.9503,0.2912,0.0839,2017,ITRI
6,5.9003,0.4682,7.3208,184494500.0,0.0216,7.6413,0.0769,319420000.0,17.0218,75.7831,341200500.0,19.1175,176757000.0,33.24,636528000.0,1.1937,1629063500.0,-43543000.0,49.4976,1.2787,3.6953,0.0499,72299000.0,63.7297,7.9703,-0.6275,0.0158,0.0132,0.1587,0.0641,0.3325,0.0,44.0623,-194992000.0,1.8923,1.0034,35.6046,25.4887,0.0195,1.7733,0.0301,1.2358,-0.0557,-0.0811,22.2215,3.6463,1.1744,17.8293,0.3933,0.009,17.0218,3.4958,-1.1397,70.7641,52.6915,15.1078,3.032,0.193,0.0833,2016,ITRI
7,5.5607,0.5944,7.1788,184829000.0,0.0233,7.6989,0.0383,281166000.0,16.2909,113.0625,338721000.0,26.2672,172343000.0,46.9878,660622550.0,0.7342,1716031500.0,-43918000.0,51.1188,0.8612,2.2209,0.0192,29432000.0,64.1224,9.6841,-0.5622,0.0067,0.0088,0.1684,0.0269,0.3393,0.0,52.3946,-298673000.0,0.77,1.826,55.1132,30.6947,0.0074,1.5885,0.0213,1.0976,-0.104,-0.216,22.1144,5.7856,0.9668,10.8303,0.4106,0.0075,16.2909,3.4276,-1.149,25.9971,49.2762,12.3855,1.919,0.2203,0.0862,2015,ITRI
8,5.5389,0.4638,6.9529,191800000.0,0.0228,8.0411,0.0003,262393000.0,17.8272,0.0,351628000.0,28.6629,165844000.0,18.7289,785756550.0,0.8508,1817129000.0,-44495000.0,50.315,0.9595,2.3722,-0.0301,88478000.0,64.9459,8.2679,-0.4461,-0.0122,-0.0137,0.1771,-0.0504,0.3658,0.0,42.2106,-270743000.0,2.258,2.1111,21.1204,3894.7256,-0.013,1.5045,0.0534,1.0718,-0.0654,-0.1634,14.0531,-5.6178,0.8824,0.0,0.4815,0.0092,17.8272,2.8678,-1.1355,100.827,49.7044,18.6439,3.3936,0.1849,0.0901,2014,ITRI
9,5.2949,0.4339,6.1906,213754000.0,0.031,7.6009,-0.0776,344354000.0,22.2237,0.0,366017500.0,12.6595,174093000.0,35.8453,941242000.0,0.8397,1985976000.0,-60020000.0,55.1032,0.9708,1.8642,-0.1627,45401000.0,67.1812,9.6421,-0.2182,-0.079,-0.0903,0.1685,-0.2591,0.3954,0.0,48.9515,-210174000.0,1.1558,1.8774,41.4387,0.0,-0.0771,1.7568,0.0279,0.9759,-0.1027,-0.1291,17.8461,-0.6883,1.0582,0.0,1.1147,0.0097,22.2237,3.1772,-1.528,41.1545,49.3375,13.9086,2.6838,0.2012,0.0905,2013,ITRI
0,6.4211,0.3448,6.4283,39475000.0,0.0373,2.5991,0.2254,478878000.0,20.4535,16.9224,88883000.0,4.813,97632500.0,24.2259,530358500.0,4.1694,894629500.0,-21314000.0,61.4645,3.8696,4.0538,0.2644,98225000.0,69.9137,7.0516,-1.2109,0.2457,0.0591,0.1342,0.2622,0.0941,0.0,167.7142,215804000.0,3.4228,-1.0215,22.4839,14.73,0.1567,4.5719,0.0413,0.638,0.0547,0.0907,18.475,0.8526,3.6013,47.4883,0.315,0.0292,20.4535,13.0151,-0.7427,47.9794,19.8878,13.1824,4.1655,0.2056,0.1585,2022,NVMI
1,6.3162,0.457,5.991,30157000.0,0.0116,2.5737,0.2508,278586000.0,16.6982,44.6646,65880000.0,9.2153,70199500.0,32.6133,422646000.0,9.9887,730470000.0,-4816000.0,73.1697,9.5233,8.7734,0.2203,127446000.0,60.0385,7.6304,-0.3239,0.2237,0.0224,0.1375,0.2974,0.0282,0.0,158.9236,235116000.0,4.492,-1.5219,31.0937,35.2603,0.1275,1.9675,0.0307,0.5697,0.0889,0.0566,29.9615,1.4206,1.6622,35.1045,0.4315,0.0252,16.6982,14.4568,-0.1697,205.1246,14.6665,31.1401,4.6618,0.2689,0.1583,2021,NVMI
2,4.6885,0.4912,5.1995,22401000.0,0.0239,2.1158,0.2668,497767000.0,13.2234,41.2865,57458500.0,5.727,55048000.0,36.8639,343038500.0,7.3633,528114500.0,-6443000.0,75.5114,6.4674,5.339,0.1397,53810000.0,85.783,6.4957,-0.6968,0.1778,0.0242,0.1553,0.0901,0.0384,0.0,193.4604,274453000.0,1.9152,-3.7238,32.3785,31.353,0.0907,9.169,0.0271,0.5101,0.0267,0.1384,28.9162,1.2577,7.9953,22.5559,0.2706,0.0258,13.2234,15.086,-0.2293,306.3076,9.5881,26.8805,2.1445,0.2783,0.1968,2020,NVMI
3,4.2785,0.1059,5.1907,19860500.0,0.0946,2.2871,0.1408,256699000.0,11.2758,30.0238,52567000.0,3.6787,45074000.0,54.331,297639500.0,4.692,366936500.0,-21269000.0,73.3123,4.0119,3.355,0.1182,19423000.0,83.7454,1.1942,-2.65,0.1564,0.0333,0.1702,0.1224,0.0691,0.0,171.2319,217027000.0,0.6963,-3.4426,46.4554,24.7831,0.0959,6.5524,0.0184,0.6129,0.019,0.2057,22.174,1.157,5.1454,17.8793,0.2626,0.0226,11.2758,6.6779,-0.7625,70.4877,8.0627,20.3066,1.4588,0.0832,0.1979,2019,NVMI
4,5.3161,0.0,6.0916,17384500.0,0.0146,2.7612,0.3601,233499000.0,10.0186,11.8031,47240000.0,2.5489,38353500.0,19.6831,253738000.0,2.5418,308357500.0,-3678000.0,65.538,1.8417,2.2738,0.2143,32431000.0,77.8023,0.0,-0.4787,0.2165,0.0847,0.1496,0.2199,0.0909,0.0,144.0216,228887000.0,1.1573,-2.5809,14.2615,7.6522,0.1763,5.8567,0.0508,0.8144,0.049,0.3586,12.8088,0.6641,4.7706,20.858,0.5586,0.0172,10.0186,6.2746,-0.1313,49.5068,8.962,6.7891,1.2886,0.0,0.181,2018,NVMI
5,5.3124,0.0,5.6304,16127500.0,0.0284,2.8297,0.4654,179782000.0,8.1866,15.8393,41787500.0,3.8024,32090500.0,13.2753,200726500.0,3.3199,250939000.0,-6295000.0,63.3248,2.6483,3.2504,0.2315,55516000.0,67.3285,0.0,-1.0188,0.2093,0.0631,0.1471,0.2399,0.1162,0.0,140.3685,175359000.0,2.0045,-2.3296,10.5898,10.168,0.1851,4.449,0.0753,0.8846,0.1275,0.2379,9.5113,1.3304,3.6457,17.5913,0.4448,0.0125,8.1866,5.383,-0.2273,79.4685,8.0153,9.1863,2.2318,0.0,0.1755,2017,NVMI
6,5.3153,0.0,5.74,15439500.0,0.0191,3.1127,0.0759,128642000.0,6.4293,36.5556,30836000.0,2.5684,28471500.0,0.0,167888500.0,2.1819,212931000.0,-3133000.0,67.9605,1.627,2.0469,0.0574,-7293000.0,94.925,0.0,-0.4751,0.0588,0.0274,0.173,0.0696,0.1623,0.0,120.5093,123800000.0,-0.2684,-5.4267,-36.5653,26.2317,0.0453,4.2956,-0.0204,0.7697,-0.0534,0.3462,-64.1036,-0.4314,3.4221,7.2165,0.6583,0.0167,6.4293,3.3469,-0.1153,-235.5883,6.0314,15.9112,-0.1531,0.0,0.2135,2016,NVMI
7,8.5816,0.0,5.5064,12973000.0,0.0294,3.2626,0.113,112819000.0,5.9246,16.8966,17306000.0,2.1563,21895000.0,12.3887,152321000.0,1.7865,190274000.0,-4373000.0,73.466,1.1331,1.6473,0.1032,21416000.0,46.809,0.0,-0.4546,0.1059,0.0592,0.1648,0.1269,0.1834,0.0,141.4494,103768000.0,0.7878,-4.5767,7.8579,14.5524,0.0826,4.0362,0.0807,0.7805,0.0571,0.3911,6.5254,1.64,3.1239,8.8111,0.8696,0.018,5.9246,3.5693,-0.1609,20.863,5.4631,7.9439,0.9486,0.0,0.2673,2015,NVMI
8,5.5449,0.0,4.198,13579000.0,0.0434,3.332,0.5119,130480000.0,5.2312,15.2794,21753000.0,1.9728,17108500.0,10.0094,136116000.0,2.3493,167774500.0,-5234000.0,74.0693,1.3301,1.9728,0.137,28309000.0,47.104,0.0,-1.3247,0.1546,0.0654,0.1426,0.1314,0.0,0.0,103.1323,127979000.0,1.0314,-5.8927,5.667,9.4824,0.1112,5.7978,0.0999,0.7189,0.0829,0.4516,4.7833,1.7984,5.0926,8.9766,0.3451,0.0176,5.2312,4.4789,-0.1907,23.1131,4.3946,7.6876,1.2221,0.0,0.2446,2014,NVMI
9,4.9231,0.0,3.9726,13200000.0,0.0369,2.9189,0.2593,118600000.0,4.7492,25.8947,22650000.0,2.0856,17965000.0,38.9996,121705000.0,2.4062,152155000.0,-4119000.0,108.5158,1.519,2.0856,0.0864,6872000.0,91.4554,0.0,-1.1695,0.0943,0.0386,0.1539,0.0815,0.0,0.0,126.0565,115450000.0,0.2537,-6.2397,24.6202,13.7256,0.0691,4.8936,0.0256,0.7329,0.0027,0.4303,15.4128,1.0453,4.1651,6.3513,0.3393,0.0188,4.7492,3.6518,-0.152,183.7788,4.1161,10.6795,0.4057,0.0,0.2653,2013,NVMI
