,Accounts Receivable Turnover,Debt/Equity,Accounts Payable Turnover,Average Payables,Capex to Sales,Inventory Turnover,ROIC,Working Capital,Book value per Share,P/E ratio,Average Receivables,Price to Tangible BV,Average Inventory,P/FCF ratio,Average Common Equity,P/S ratio,Average Assets,Capital Expenditures,Average Days of Payables,EV/Sales,P/B ratio,ROE,Free Cash Flow,Average Days of Receivables,Interest Debt per Share,Capex/Depreciation,Net Profit Margin,Earnings Yield,"Selling, General and Administrative Expense of Revenue",Return on Tangible Assets,Intangible Assets out of Total Assets,Interest Coverage,Days of Inventory on Hand,Net Current Asset Value,Free Cash Flow per Share,Net Debt/EBITDA,EV/FCF,EV/EBIT,ROA,Current Ratio,Free Cash Flow Yield,Asset Turnover,Cash ROIC,Graham Net Nets,EV/Operating CF,Operating CF/Net income,Quick Ratio,Graham Number,Depreciation/Fixed assets,Share Based Compensation of Revenue,Shareholders Equity per Share,Cash per Share,Capex per Share,P/Operating CF,Revenue per Share,EV/EBITDA,Operating CF per Share,Debt/Assets,Research and Development Expense of Revenue,year,ticker
1,7.6039,0.4113,6.4386,1466000000.0,0.0363,4.2604,0.3838,24494000000.0,10.6619,62.624,3539500000.0,30.6751,2215500000.0,75.1562,21752500000.0,22.7083,36489000000.0,-976000000.0,68.9475,22.3322,22.966,0.4483,8132000000.0,63.062,4.3854,-0.8313,0.3623,0.016,0.0805,0.3576,0.1514,0.0,100.7337,11254000000.0,3.258,-0.915,73.9115,59.8594,0.2673,6.6503,0.0133,0.7376,0.1077,0.0184,65.9913,0.934,5.9649,30.6264,0.4226,0.0745,10.6619,8.4968,-0.391,201.5069,10.7829,53.5933,3.649,0.2477,0.1957,2022,NVDA
2,8.162,0.4193,6.8399,918000000.0,0.0676,4.477,0.2281,12130000000.0,6.8476,75.5321,2043000000.0,32.777,1402500000.0,69.569,14548500000.0,19.5836,23053000000.0,-1128000000.0,66.7917,19.3151,19.3309,0.2978,4694000000.0,53.1685,2.8715,-1.0273,0.2598,0.0132,0.1163,0.3034,0.2407,0.0,106.1459,4157000000.0,1.9027,-0.7952,68.6152,71.0679,0.1879,4.0904,0.0144,0.7233,0.1034,0.0127,55.3212,1.344,3.5643,16.4319,0.5109,0.0838,6.8476,4.6863,-0.4572,157.9859,6.7592,57.2078,2.36,0.246,0.2353,2021,NVDA
3,7.0873,0.1706,6.9282,599000000.0,0.0448,3.2498,0.5249,11906000000.0,5.0037,51.6245,1540500000.0,12.4963,1277000000.0,33.7475,10773000000.0,13.2047,15303500000.0,-489000000.0,60.4229,12.3974,11.8133,0.2595,4272000000.0,55.3952,0.8536,-1.2835,0.2561,0.0194,0.1001,0.2059,0.0385,0.0,86.1048,8579000000.0,1.7515,-2.7316,31.6841,47.5595,0.1827,7.6738,0.0296,0.7134,0.1226,0.0595,28.4298,1.7028,7.037,11.3537,0.2276,0.0773,5.0037,4.4678,-0.2005,98.4091,4.4764,41.9443,1.952,0.1202,0.2591,2020,NVDA
4,8.714,0.2128,8.2114,553500000.0,0.0512,3.8338,0.6084,9228000000.0,3.8413,21.1101,1344500000.0,10.071,1185500000.0,27.8098,8406500000.0,7.4604,12266500000.0,-600000000.0,41.0374,6.9968,9.3562,0.4926,3143000000.0,44.3633,0.8174,-2.2901,0.3534,0.0474,0.0846,0.3895,0.0499,0.0,126.4851,6607000000.0,1.2924,-1.3364,26.0818,21.5497,0.3376,7.9436,0.036,0.9551,0.1247,0.0756,21.9009,0.9039,6.6561,12.1303,0.1866,0.0475,3.8413,3.0518,-0.2467,97.3342,4.8174,20.1611,1.5391,0.1496,0.2028,2019,NVDA
5,9.2912,0.2677,7.2007,540500000.0,0.0608,4.8956,0.849,8102000000.0,3.1181,48.4813,1045500000.0,21.6489,795000000.0,50.5786,6616500000.0,15.1569,10541000000.0,-591000000.0,55.8941,14.6311,19.7074,0.4605,2911000000.0,47.5319,0.8347,-2.9698,0.3137,0.0206,0.0839,0.3349,0.0596,0.0,74.6506,5485000000.0,1.2149,-1.4984,48.8238,44.2761,0.2891,8.0269,0.0198,0.9215,0.1511,0.0373,40.5843,1.1493,7.2619,9.43,0.1996,0.0403,3.1181,2.9666,-0.2467,108.4199,4.0543,41.6915,1.4616,0.1779,0.185,2018,NVDA
6,10.3832,0.4877,7.2907,390500000.0,0.0245,4.698,0.6814,6748000000.0,2.6627,36.1589,665500000.0,11.7217,606000000.0,39.3062,5115500000.0,8.5495,8605500000.0,-169000000.0,62.1795,7.9724,10.2529,0.3257,1503000000.0,43.631,1.2985,-0.9037,0.2411,0.0277,0.0959,0.2292,0.0734,0.0,101.7949,4457000000.0,0.6945,-1.8802,36.6528,28.4846,0.1936,4.774,0.0254,0.803,0.0749,0.0754,32.9481,1.0036,4.264,6.7255,0.3589,0.0357,2.6627,3.1414,-0.0781,81.9379,3.1932,25.9732,0.7726,0.2855,0.2117,2017,NVDA
7,10.2349,0.3379,7.4669,294500000.0,0.0158,4.8812,0.4956,3702000000.0,2.0576,26.1786,489500000.0,4.3204,450500000.0,14.5262,4443500000.0,3.1778,7285500000.0,-79000000.0,49.1314,2.4738,3.5625,0.1382,1096000000.0,36.7914,0.6952,-0.3496,0.1226,0.0382,0.1202,0.1473,0.1064,0.0,69.3815,3152000000.0,0.5046,-3.6249,11.3082,16.5914,0.0843,2.5746,0.0688,0.6877,0.0644,0.198,10.5479,1.9137,2.3573,3.6004,0.485,0.0407,2.0576,2.3191,-0.0364,31.1561,2.3066,12.7377,0.541,0.2049,0.2657,2016,NVDA
8,10.4003,0.3164,6.7477,308695500.0,0.0216,4.7843,0.3976,4817000000.0,2.0009,17.2281,450178500.0,3.03,435382500.0,13.4674,4437199000.0,2.3155,7225947000.0,-101000000.0,51.3418,1.6267,2.4539,0.1422,805000000.0,36.9522,0.6332,-0.4073,0.1348,0.058,0.1025,0.1174,0.1167,0.0,84.6351,2930000000.0,0.3646,-3.2026,9.4612,10.0346,0.0873,6.3761,0.0743,0.6479,0.0334,0.2703,8.4065,1.4358,5.6886,3.582,0.4452,0.0337,2.0009,2.0938,-0.0457,24.4724,2.1205,7.5633,0.4103,0.1941,0.2905,2015,NVDA
9,9.3799,0.3083,5.4699,340409500.0,0.0557,4.6537,0.2676,4679215000.0,1.8947,20.96,440304500.0,2.628,400116000.0,15.2783,4642050500.0,2.2381,6831569500.0,-230000000.0,63.589,1.4396,2.0742,0.0948,605000000.0,37.6805,0.5841,-0.9426,0.1065,0.0477,0.1056,0.0836,0.1295,0.0,76.0119,2830215000.0,0.2572,-4.4567,9.8271,11.9867,0.0644,5.949,0.0655,0.6045,0.024,0.3062,7.1203,1.8977,5.3921,2.8273,0.4187,0.0329,1.8947,1.9863,-0.0978,23.0757,1.756,8.0344,0.355,0.1895,0.3235,2014,NVDA
0,1801.2323,0.3044,3.7719,7898600000.0,0.4809,4.2087,0.3159,34700000000.0,18.3077,11.2851,40900000.0,4.08,7078850000.0,22.6043,86258295000.0,5.2117,147922200000.0,-35425700000.0,107.6504,4.9028,4.0437,0.3746,16985600000.0,0.2666,5.5727,-2.4897,0.4386,0.0886,0.028,0.2641,0.0052,0.0,88.1661,204000000.0,3.275,-0.4487,21.2646,9.8989,0.2184,2.0809,0.0442,0.498,-0.2008,0.0005,6.8915,1.6221,1.6107,51.9828,0.1623,0.0001,18.3077,9.9603,-6.8305,24.8655,14.2046,7.1217,10.1055,0.1789,0.0721,2022,TSM
