,P/FCF ratio,EV/EBITDA,Intangible Assets out of Total Assets,Average Days of Receivables,EV/Sales,Capex to Sales,Free Cash Flow,"Selling, General and Administrative Expense of Revenue",Net Profit Margin,Cash per Share,P/S ratio,P/B ratio,Capital Expenditures,ROE,Graham Number,Interest Debt per Share,Operating CF per Share,Average Days of Payables,Debt/Equity,Operating CF/Net income,Revenue per Share,Graham Net Nets,ROIC,Research and Development Expense of Revenue,Working Capital,EV/EBIT,Capex per Share,Free Cash Flow Yield,Average Payables,Debt/Assets,Shareholders Equity per Share,Depreciation/Fixed assets,Average Receivables,Inventory Turnover,ROA,Quick Ratio,Net Debt/EBITDA,EV/Operating CF,Share Based Compensation of Revenue,P/E ratio,Net Current Asset Value,Average Inventory,Accounts Payable Turnover,Asset Turnover,Interest Coverage,Book value per Share,Cash ROIC,Current Ratio,Accounts Receivable Turnover,Price to Tangible BV,Average Common Equity,P/Operating CF,EV/FCF,Return on Tangible Assets,Average Assets,Free Cash Flow per Share,Earnings Yield,Days of Inventory on Hand,Capex/Depreciation,year,ticker
0,11.7037,10.6554,0.4179,22.8909,2.1535,0.0133,460000000.0,0.5825,0.084,21.1386,1.1563,2.1552,-62000000.0,0.1426,116.2867,136.0644,12.9208,292.6577,2.2006,1.335,115.2475,-0.5827,0.0686,0.0,2777000000.0,12.7892,-1.5347,0.0854,310500000.0,0.5703,61.8317,0.1378,285500000.0,0.6439,0.0406,0.934,4.9341,19.2082,0.0084,13.7099,-3137000000.0,689500000.0,1.43,0.4837,0.0,61.8317,-0.0697,3.2632,16.3082,0.0,2742000000.0,37.9134,21.7972,0.0998,9626000000.0,11.3861,0.0729,542.5676,-0.3949,2022,VAC
1,24.0189,17.3599,0.431,26.1787,2.9097,0.0113,299000000.0,0.5712,0.0126,18.8941,1.8462,2.4051,-44000000.0,0.0173,42.265,116.2353,8.0706,185.6526,1.6544,7.0,91.5294,-0.3872,0.0395,0.0,2623000000.0,25.1526,-1.0353,0.0416,237000000.0,0.5139,70.2588,0.1778,277500000.0,0.705,0.0053,0.8847,6.3451,32.999,0.0131,149.5398,-2781000000.0,739000000.0,2.1983,0.4203,0.0,70.2588,-0.0908,3.1447,14.018,0.0,2834000000.0,179.5413,37.855,0.013,9255500000.0,7.0353,0.0067,503.714,-0.2178,2021,VAC
2,20.7589,194.7486,0.4236,34.9064,3.1716,0.009,273000000.0,0.6001,-0.0953,24.0194,1.9637,2.113,-26000000.0,-0.0963,0.0,108.4262,7.2397,160.6,1.6696,-1.0873,69.8789,-0.4145,-0.0099,0.0,2674000000.0,0.0,-0.6295,0.0482,247500000.0,0.5033,64.9395,0.1833,299500000.0,0.5871,-0.0304,1.0629,74.1702,30.6127,0.0125,0.0,-2349000000.0,809000000.0,1.9192,0.3187,0.0,64.9395,-0.0604,3.2414,9.6361,0.0,2856500000.0,40.1928,33.5282,-0.0794,9056000000.0,6.6102,-0.0483,583.2316,-0.1793,2020,VAC
3,14.6061,15.0187,0.4253,27.6814,2.1793,-0.0012,387000000.0,0.576,0.0324,15.9681,1.3272,1.8649,5000000.0,0.0425,70.0641,98.6333,8.7016,163.6207,1.4286,2.7681,97.0159,-0.3657,0.043,0.0,2813000000.0,20.2654,0.1139,0.0685,293500000.0,0.4699,69.0433,0.2228,323500000.0,0.741,0.0151,0.7859,5.8722,24.2973,0.0077,40.7468,-2067000000.0,861000000.0,2.1738,0.4672,0.0,69.0433,-0.0417,3.1589,13.1654,0.0,3248500000.0,27.983,23.9834,0.0391,9116000000.0,8.8155,0.0245,491.4342,0.0313,2019,VAC
4,41.1927,16.0927,0.4363,39.845,1.8706,0.0135,57000000.0,0.6435,0.0185,18.4384,0.7911,0.6774,-40000000.0,0.0244,46.417,123.6637,2.9129,424.1892,1.1881,1.7636,89.1291,-0.7291,0.0239,0.0,2739000000.0,20.7939,-1.2012,0.0243,223000000.0,0.4566,104.0841,0.082,208000000.0,0.4108,0.0093,0.852,10.1565,57.2369,0.0098,76.6413,-1712000000.0,630500000.0,1.1614,0.5004,0.0,104.0841,-0.1042,3.4877,14.2692,0.0,2253500000.0,78.2661,97.4032,0.0149,5931500000.0,1.7117,0.013,1216.1969,-0.5128,2018,VAC
5,31.8425,14.8921,0.0,15.3825,1.9687,0.0119,116000000.0,0.6587,0.1077,18.1181,1.692,3.5483,-26000000.0,0.2412,85.257,40.4059,5.2399,360.034,1.0519,0.6043,80.5535,0.0791,0.0935,0.0,1678000000.0,17.4704,-0.9594,0.0314,134719500.0,0.3849,38.4133,0.0532,126866500.0,0.2647,0.0898,1.3947,2.1805,30.2657,0.0073,16.2069,292000000.0,555268000.0,1.0912,0.8338,0.0,38.4133,-0.1679,5.0144,17.2071,3.5483,974409500.0,52.0244,37.0494,0.1039,2618209500.0,4.2804,0.0617,988.2313,-0.8387,2017,VAC
6,13.435,11.8401,0.0,29.5163,1.4376,-0.017,175000000.0,0.6585,0.061,7.6381,1.1756,2.5899,34000000.0,0.1295,60.1385,26.4238,5.0538,236.5637,0.8121,1.1557,71.6846,0.245,0.0873,0.0,1636737000.0,14.3763,1.2186,0.0744,131779500.0,0.3083,32.5383,0.1331,146791500.0,0.2779,0.0509,0.8862,2.3089,20.3919,0.007,17.0587,576082000.0,690889500.0,1.457,0.8349,0.0,32.5383,-0.0333,4.8699,13.6248,2.5899,942043000.0,46.9148,16.43,0.0663,2395568500.0,6.2724,0.0586,1354.5606,1.2593,2016,VAC
7,32.2139,8.2209,0.0,26.5769,1.2279,0.0347,55665000.0,0.5781,0.0678,7.8925,0.9903,1.8368,-62749000.0,0.1195,52.0936,21.5579,3.7607,252.2794,0.6953,0.9643,57.5093,0.3049,0.0969,0.0,1540160000.0,9.1628,-1.9929,0.031,126599500.0,0.2829,31.0054,0.0963,120775000.0,0.2792,0.0498,0.8844,1.5909,18.7771,0.0078,14.6401,546785000.0,721013500.0,1.5899,0.7346,0.0,31.0054,-0.0895,4.5811,14.9931,1.8368,1027985000.0,101.3671,39.9437,0.0671,2465148500.0,1.7679,0.0683,1213.6014,-2.2569,2015,VAC
8,6.9986,13.3071,0.0,23.3334,1.606,-0.0391,358556000.0,0.5883,0.0471,13.5578,1.4623,2.3241,67145000.0,0.0706,41.355,20.8826,8.6562,206.864,0.6511,3.6085,50.9733,0.3209,0.0737,0.0,1877076000.0,15.0631,1.9945,0.1429,121539500.0,0.2778,32.072,0.1638,109350000.0,0.2451,0.0313,1.4935,1.1907,9.4574,0.0078,31.4515,805258000.0,821392000.0,1.6561,0.6648,0.0,32.072,0.0643,5.9519,15.6929,2.3241,1144351500.0,29.5455,7.6863,0.0399,2581289500.0,10.6507,0.0318,1401.3203,2.781,2014,VAC
9,13.2066,11.0999,0.0,22.7383,1.2907,0.0105,142314000.0,0.5791,0.0456,8.0853,1.0666,1.5437,-18434000.0,0.0679,41.5968,19.1672,4.5444,203.6663,0.5608,2.0162,49.4639,0.4351,0.0562,0.0,1854000000.0,12.8827,-0.5211,0.0757,121000000.0,0.2576,34.1786,0.1109,104500000.0,0.263,0.0304,1.0367,1.9268,14.0486,0.0069,23.4489,812000000.0,879000000.0,1.9106,0.6672,0.0,34.1786,-0.0429,5.8661,16.7434,1.5437,1174000000.0,49.4405,15.9806,0.0378,2622500000.0,4.0232,0.0426,1373.5634,-0.6547,2013,VAC
