,Capital Stock Change,Beginning Cash,Assets Liabilities Change (Total),Financing cash flow,Capital expenditures,Other financial activities,Stock Based Compensation,Change in Cash,Net Aquisitions,Change in inventories,Repayment/Issuance of Debt (Net),Ending Cash,Accounts Receivable Change,Exchange Rate Adjustment,Operating Cash Flow,Non Cash Items (Other),Net Cash/Marketcap,Net Income,Dividends Paid (Common),Accounts Payable Change,Change in other assets and liabilities,Investing cash flow,"Equity Repurchase (Common, Net)",Long-Term Investments Change (Net),Issuance/Purchase of Shares,Change in payables and accrued liability,Depreciation & Amortization,Investments Change (Net),Other investing activities,Other operating activities,year,ticker,Short Term Investments Change (Net),Change in intangibles (net),Dividends Paid (Total),Income tax paid,Dividends Paid (Preffered),"Equity Repurchase (Preffered, Net)",Discontinued Operations and Adjustments
3,-6685000000.0,1778000000.0,-488000000.0,-10798000000.0,-2678000000.0,-140000000.0,251000000.0,355000000.0,0.0,-593000000.0,1985000000.0,2133000000.0,-170000000.0,119000000.0,13687000000.0,453000000.0,0.1177,11242000000.0,-5958000000.0,,199000000.0,-2653000000.0,-6685000000.0,0.0,-6685000000.0,32000000.0,2296000000.0,0.0,25000000.0,184000000.0,2020,HD,,,-5958000000.0,44000000.0,,,
4,-9727000000.0,3595000000.0,-560000000.0,-12547000000.0,-2442000000.0,-153000000.0,282000000.0,-1817000000.0,-21000000.0,-1244000000.0,2037000000.0,1778000000.0,33000000.0,-19000000.0,13165000000.0,555000000.0,0.1314,11121000000.0,-4704000000.0,,-177000000.0,-2416000000.0,-9727000000.0,0.0,-9727000000.0,870000000.0,2152000000.0,0.0,47000000.0,-103000000.0,2019,HD,,,-4704000000.0,-42000000.0,,,
5,-7745000000.0,2538000000.0,554000000.0,-8870000000.0,-1850000000.0,-211000000.0,273000000.0,1057000000.0,-374000000.0,-84000000.0,3298000000.0,3595000000.0,139000000.0,124000000.0,12031000000.0,365000000.0,0.099,8630000000.0,-4212000000.0,,118000000.0,-2228000000.0,-7745000000.0,0.0,-7745000000.0,352000000.0,2062000000.0,0.0,-4000000.0,420000000.0,2018,HD,,,-4212000000.0,29000000.0,,,
6,-6662000000.0,2216000000.0,-297000000.0,-7870000000.0,-1583000000.0,-78000000.0,267000000.0,322000000.0,0.0,-769000000.0,2274000000.0,2538000000.0,-138000000.0,-8000000.0,9783000000.0,150000000.0,0.1246,7957000000.0,-3404000000.0,,55000000.0,-1583000000.0,-6662000000.0,0.0,-6662000000.0,446000000.0,1973000000.0,0.0,-78000000.0,0.0,2017,HD,,,-3404000000.0,109000000.0,,,
7,-6772000000.0,1723000000.0,386000000.0,-5787000000.0,-1460000000.0,4000000.0,244000000.0,493000000.0,-1522000000.0,-546000000.0,4012000000.0,2216000000.0,-181000000.0,-111000000.0,9373000000.0,115000000.0,0.1176,7009000000.0,-3031000000.0,,71000000.0,-2982000000.0,-6772000000.0,0.0,-6772000000.0,888000000.0,1863000000.0,0.0,0.0,0.0,2016,HD,,,-3031000000.0,154000000.0,,,
8,-6748000000.0,1929000000.0,50000000.0,-7071000000.0,-1394000000.0,-25000000.0,225000000.0,-206000000.0,-200000000.0,-124000000.0,2232000000.0,1723000000.0,-81000000.0,-106000000.0,8242000000.0,61000000.0,0.1107,6345000000.0,-2530000000.0,,-157000000.0,-1271000000.0,-6748000000.0,323000000.0,-6748000000.0,244000000.0,1786000000.0,323000000.0,0.0,0.0,2015,HD,,,-2530000000.0,168000000.0,,,
9,-8305000000.0,2494000000.0,289000000.0,-6652000000.0,-1301000000.0,-37000000.0,228000000.0,-565000000.0,-206000000.0,-455000000.0,3933000000.0,1929000000.0,-15000000.0,-34000000.0,7628000000.0,197000000.0,0.1168,5385000000.0,-2243000000.0,,35000000.0,-1507000000.0,-8305000000.0,0.0,-8305000000.0,605000000.0,1757000000.0,0.0,0.0,0.0,2014,HD,,,-2243000000.0,119000000.0,,,
0,-3190133000.0,45241050000.0,-10548910000.0,-415732000.0,-12150470000.0,179894000.0,,10384500000.0,0.0,-2594070000.0,8610448000.0,55625550000.0,-3939997000.0,764457000.0,21867560000.0,-1196054000.0,0.7704,18447960000.0,-6015948000.0,5271760000.0,-9286607000.0,-11831790000.0,-3190133000.0,1358011000.0,-3190133000.0,5349151524.2529,15095290000.0,1358011000.0,1537935000.0,69278700.0,2023,TM,0.0,-2577272000.0,-6015948000.0,0.0,,,
1,-3601990000.0,45397630000.0,-10062940000.0,-21951990000.0,-16948070000.0,862902431.0118,,9013902000.0,0.0,-6455037000.0,-11571800000.0,54411530000.0,1056003000.0,2974335000.0,33131270000.0,1793083000.0,0.6356,25584060000.0,-6778195000.0,1356351000.0,-6020254000.0,-5139714000.0,-3601990000.0,-2004939000.0,-3601990000.0,1251634362.6807,16214730000.0,-2004939000.0,16893470000.0,-397651900.0,2022,TM,0.0,-3080156000.0,-6778195000.0,0.0,,,
2,1878910000.0,38525430000.0,-9997481000.0,25748240000.0,-19526210000.0,-1557247292.4188,,9422616000.0,0.0,-2282029000.0,30093180000.0,47948050000.0,47253800.0,2070303000.0,25635320000.0,583598400.0,0.7043,21454350000.0,-6223853000.0,3610935000.0,-11373640000.0,-44031250000.0,1878910000.0,-6272178000.0,1878910000.0,3466985559.5668,15456330000.0,-6272178000.0,-15615450000.0,-1861482000.0,2021,TM,0.0,-2617402000.0,-6223853000.0,0.0,,,
