,Beginning Cash,Assets Liabilities Change (Total),Other investing activities,Dividends Paid (Common),Accounts Payable Change,Non Cash Items (Other),Change in payables and accrued liability,Operating Cash Flow,Investments Change (Net),Capital Stock Change,Net Cash/Marketcap,Investing cash flow,Other financial activities,Dividends Paid (Total),Issuance/Purchase of Shares,Depreciation & Amortization,Financing cash flow,Long-Term Investments Change (Net),Capital expenditures,Change in Cash,Change in other assets and liabilities,Stock Based Compensation,Ending Cash,Accounts Receivable Change,Repayment/Issuance of Debt (Net),"Equity Repurchase (Common, Net)",Exchange Rate Adjustment,Net Income,Net Aquisitions,Short Term Investments Change (Net),year,ticker,Change in inventories,"Equity Repurchase (Preffered, Net)",Other operating activities,Income tax paid,Change in intangibles (net),Dividends Paid (Preffered),Discontinued Operations and Adjustments
7,5137000000.0,-820000000.0,-1000000.0,-727000000.0,49000000.0,64000000.0,325000000.0,4101000000.0,212000000.0,-3491000000.0,-0.0363,-715000000.0,-33000000.0,-727000000.0,-3491000000.0,1130000000.0,-2516000000.0,212000000.0,-342000000.0,610000000.0,-1159000000.0,122000000.0,5747000000.0,-35000000.0,1735000000.0,-3491000000.0,-260000000.0,3808000000.0,-584000000.0,0.0,2015,MA,,,-81000000.0,0.0,0.0,,
8,3599000000.0,-1168000000.0,99000000.0,-515000000.0,61000000.0,-106000000.0,274000000.0,3407000000.0,1450000000.0,-3358000000.0,-0.054,690000000.0,4000000.0,-515000000.0,-3358000000.0,1012000000.0,-2339000000.0,1450000000.0,-334000000.0,1538000000.0,-1331000000.0,-15000000.0,5137000000.0,-164000000.0,1530000000.0,-3358000000.0,-220000000.0,3617000000.0,-525000000.0,0.0,2014,MA,,,52000000.0,-8000000.0,0.0,,
9,2052000000.0,147000000.0,-24000000.0,-255000000.0,-20000000.0,-56000000.0,475000000.0,4135000000.0,319000000.0,-2417000000.0,-0.0694,-4000000.0,8000000.0,-255000000.0,-2417000000.0,861000000.0,-2629000000.0,319000000.0,-299000000.0,1547000000.0,-419000000.0,63000000.0,3599000000.0,-42000000.0,35000000.0,-2417000000.0,45000000.0,3116000000.0,0.0,0.0,2013,MA,,,67000000.0,153000000.0,0.0,,
0,348221000000.0,-45239000000.0,-69663000000.0,-8576000000.0,,6112000000.0,23029000000.0,-6327000000.0,67134000000.0,-1301000000.0,-1.0457,-2529000000.0,-134502000000.0,-8576000000.0,-1301000000.0,4050000000.0,-106039000000.0,84103000000.0,,-118018000000.0,20799000000.0,2862000000.0,230203000000.0,6705000000.0,38340000000.0,-5073000000.0,-3123000000.0,27528000000.0,,-16969000000.0,2022,BAC,-95772000000.0,3772000000.0,1222000000.0,,,,
1,380463000000.0,-48871000000.0,-56286000000.0,-8055000000.0,,-2686000000.0,16639000000.0,-7193000000.0,-257005000000.0,-24928000000.0,-0.9081,-313291000000.0,268346000000.0,-8055000000.0,-24928000000.0,7735000000.0,291650000000.0,-309745000000.0,,-32242000000.0,-34455000000.0,2768000000.0,348221000000.0,-8951000000.0,56287000000.0,-25126000000.0,-3408000000.0,31978000000.0,,52740000000.0,2021,BAC,-22104000000.0,198000000.0,4651000000.0,,,,
2,161560000000.0,-934000000.0,41204000000.0,-7727000000.0,,11203000000.0,-4385000000.0,37993000000.0,-218869000000.0,-5916000000.0,-1.5645,-177665000000.0,360076000000.0,-7727000000.0,-5916000000.0,5944000000.0,355819000000.0,-189969000000.0,,218903000000.0,-12883000000.0,2031000000.0,380463000000.0,-608000000.0,9386000000.0,-7025000000.0,2756000000.0,17894000000.0,,-28900000000.0,2020,BAC,16942000000.0,1109000000.0,3886000000.0,,,,
3,177404000000.0,14487000000.0,-43544000000.0,-5934000000.0,,9854000000.0,16363000000.0,61777000000.0,-37086000000.0,-27069000000.0,-0.6555,-80630000000.0,52629000000.0,-5934000000.0,-27069000000.0,3795000000.0,3377000000.0,76769000000.0,,-15844000000.0,-11113000000.0,1974000000.0,161560000000.0,1317000000.0,-16249000000.0,-28144000000.0,-368000000.0,27430000000.0,,-113855000000.0,2019,BAC,7920000000.0,1075000000.0,6211000000.0,,,,
4,157434000000.0,2158000000.0,-16542000000.0,-6895000000.0,,7898000000.0,13010000000.0,39520000000.0,-54926000000.0,-20091000000.0,-1.7324,-71468000000.0,71280000000.0,-6895000000.0,-20091000000.0,3887000000.0,53118000000.0,-10201000000.0,,19970000000.0,11920000000.0,1729000000.0,177404000000.0,901000000.0,8824000000.0,-20094000000.0,-1200000000.0,28147000000.0,,-44725000000.0,2018,BAC,-23673000000.0,3000000.0,-2570000000.0,,,,
5,147738000000.0,-33038000000.0,-27543000000.0,-5700000000.0,,12965000000.0,4673000000.0,9864000000.0,-23998000000.0,-12814000000.0,-1.1917,-51541000000.0,48214000000.0,-5700000000.0,-12814000000.0,4354000000.0,49268000000.0,85439000000.0,,9696000000.0,-20090000000.0,1649000000.0,157434000000.0,-2958000000.0,19568000000.0,-12814000000.0,2105000000.0,18232000000.0,,-109437000000.0,2017,BAC,-14663000000.0,0.0,7351000000.0,,,,
6,159353000000.0,-17292000000.0,-24282000000.0,-4194000000.0,,10267000000.0,-35000000.0,17277000000.0,-38003000000.0,-2165000000.0,-1.3777,-62285000000.0,63612000000.0,-4194000000.0,-2165000000.0,5375000000.0,33153000000.0,87370000000.0,,-11615000000.0,-14103000000.0,1367000000.0,147738000000.0,-519000000.0,-24100000000.0,-5112000000.0,240000000.0,17822000000.0,,-125373000000.0,2016,BAC,-2635000000.0,2947000000.0,1105000000.0,,,,
7,138589000000.0,4196000000.0,-41914000000.0,-3574000000.0,,4901000000.0,730000000.0,28397000000.0,-13657000000.0,590000000.0,-1.7,-55571000000.0,78274000000.0,-3574000000.0,590000000.0,5002000000.0,48535000000.0,68795000000.0,,20764000000.0,2645000000.0,-89000000.0,159353000000.0,-1729000000.0,-26755000000.0,590000000.0,-597000000.0,15910000000.0,,-82452000000.0,2015,BAC,2550000000.0,0.0,-1612000000.0,,,,
