,Book value per Share,Revenue per Share,Cash per Share,P/FCF ratio,Capex per Share,Intangible Assets out of Total Assets,Average Receivables,Capex/Depreciation,ROA,Cash ROIC,Shareholders Equity per Share,Depreciation/Fixed assets,Net Current Asset Value,P/S ratio,Free Cash Flow per Share,Average Common Equity,Average Days of Receivables,EV/FCF,EV/EBITDA,Quick Ratio,Capex to Sales,EV/Operating CF,ROIC,Average Days of Payables,Current Ratio,Graham Number,P/B ratio,Asset Turnover,Debt/Assets,Capital Expenditures,Interest Coverage,Average Assets,P/Operating CF,Average Payables,EV/Sales,Net Debt/EBITDA,Free Cash Flow,Working Capital,Operating CF/Net income,P/E ratio,Accounts Payable Turnover,ROE,EV/EBIT,Return on Tangible Assets,Interest Debt per Share,Research and Development Expense of Revenue,Share Based Compensation of Revenue,Accounts Receivable Turnover,Graham Net Nets,Price to Tangible BV,Operating CF per Share,Net Profit Margin,Free Cash Flow Yield,Earnings Yield,"Selling, General and Administrative Expense of Revenue",Debt/Equity,Days of Inventory on Hand,Inventory Turnover,year,ticker,Average Inventory
4,24.1332,11.8409,7.1182,5.8746,-0.2361,0.0237,,-0.4417,0.0147,0.0242,24.1332,0.1934,-30257000000.0,1.9872,4.0054,14904000000.0,0.0,9.4464,0.0,0.0425,0.0199,8.9205,0.0549,38087.0326,0.8819,39.1211,1.062,0.0553,0.1372,-159000000.0,,144075000000.0,17.0547,105998500000.0,3.1954,0.0,2697000000.0,-13333000000.0,1.3484,7.6645,0.0098,0.1421,0.0,-0.1846,29.7529,0.0,0.0159,0.0,-1.9097,1.3822,4.2415,0.2656,0.1702,0.1305,0.5224,1.2329,0.0,0.0,2018,FITB,
5,22.2714,10.5906,7.9076,18.7812,-0.4119,0.0234,,-0.8798,0.0148,-0.012,22.2714,0.1702,-28836000000.0,2.8733,1.6202,14895000000.0,0.0,26.5312,0.0,0.0529,0.0389,21.1533,0.0583,54492.2287,0.8917,36.4604,1.4885,0.0543,0.1513,-300000000.0,,142129000000.0,87.9438,103491500000.0,4.059,0.0,1180000000.0,-11788000000.0,0.7031,10.5294,0.0067,0.1413,0.0,-0.2151,29.524,0.0,0.0153,0.0,-1.3012,1.9173,2.0322,0.2729,0.0532,0.095,0.5242,1.3256,0.0,0.0,2017,FITB,
6,21.4303,9.0952,7.3353,11.0094,-0.3037,0.0223,,-0.5077,0.0104,0.0006,21.4303,0.2194,-28793000000.0,2.9741,2.457,14720000000.0,0.0,15.7553,0.0,0.0508,0.0334,14.0223,0.0462,65561.7042,0.889,29.3795,1.375,0.0486,0.1351,-230000000.0,,141612500000.0,22.995,103513000000.0,4.2561,0.0,1861000000.0,-12136000000.0,1.4205,13.8718,0.0056,0.1,0.0,-0.1462,25.3633,0.0,0.0161,0.0,-1.4053,1.7464,2.7606,0.2137,0.0908,0.0721,0.5956,1.1835,0.0,0.0,2016,FITB,
7,19.8716,8.8038,7.0083,7.2767,-0.2655,0.0228,,-0.4807,0.0116,0.0048,19.8716,0.197,-27368000000.0,2.2831,2.7622,14436500000.0,0.0,11.9064,0.0,0.0523,0.0302,10.8625,0.0567,76100.6566,0.9139,29.1187,1.1041,0.0503,0.1121,-212000000.0,,139877000000.0,17.8162,102458500000.0,3.7357,0.0,2206000000.0,-9217000000.0,1.4908,9.7101,0.0048,0.1124,0.0,-0.2324,19.7964,0.0,0.0142,0.0,-1.7049,1.4173,3.0277,0.2307,0.1374,0.103,0.5932,0.9962,0.0,0.0,2015,FITB,
8,18.8029,7.8056,13.6416,9.3393,-0.3097,0.0237,,-0.6232,0.0104,-0.0093,18.8029,0.168,-21653000000.0,2.6109,2.1822,13963000000.0,0.0,11.3206,0.0,0.1078,0.0397,9.9137,0.0658,82316.8071,0.9616,25.5021,1.1845,0.0483,0.1079,-258000000.0,,134574500000.0,32.5891,100493500000.0,3.1648,0.0,1818000000.0,-4044000000.0,1.4807,12.131,0.0045,0.1004,0.0,-0.8879,17.9651,0.0,0.0128,0.0,-1.2753,1.5372,2.4918,0.2156,0.1071,0.0824,0.6188,0.9554,0.0,0.0,2014,FITB,
9,16.8219,8.281,9.9337,4.4081,-0.5141,0.0261,,-0.8817,0.0143,0.0627,16.8219,0.2003,-19204000000.0,2.5396,4.7708,13479000000.0,0.0,4.6482,0.0,0.0841,0.0621,4.196,0.1039,87949.9393,0.9408,26.9831,1.3453,0.0571,0.0738,-447000000.0,,126168500000.0,23.8083,94396000000.0,2.6779,0.0,4148000000.0,-6084000000.0,2.5542,10.1594,0.0044,0.1335,0.0,-0.5063,11.0793,0.0,0.0108,0.0,-1.0503,1.7951,5.2849,0.2499,0.2269,0.0984,0.5819,0.6586,0.0,0.0,2013,FITB,
0,66.3161,41.2909,7.9597,8.1084,-0.0945,0.0021,3039500000.0,-0.1181,-0.0159,0.1458,66.3161,0.6287,-14727000000.0,2.519,12.8275,11818000000.0,178.9096,7.9253,0.0,0.2956,0.0023,7.8673,-0.0394,770.7025,0.2956,0.0,1.5638,0.2146,0.03,-15000000.0,0.0,30561500000.0,26.1756,14369000000.0,2.4621,0.7271,2037000000.0,-10670000000.0,-4.2222,0.0,0.4993,-0.0411,0.0,0.0464,5.6108,0.0,0.0,2.1573,-0.888,1.5729,12.9219,-0.0741,0.1233,-0.0285,0.0,0.0846,0.0,0.0,2022,CINF,
1,81.3975,59.8137,7.0745,9.33,-0.0932,0.0,2746000000.0,-0.1271,0.1,0.1173,81.3975,0.5756,-14278000000.0,1.9047,12.2112,11947000000.0,108.5903,9.2069,4.7125,0.2946,0.0016,9.1372,0.1809,842.5939,0.2946,183.0722,1.3997,0.3268,0.0286,-15000000.0,0.0,29464500000.0,39.6171,13105500000.0,1.8796,-0.063,1966000000.0,-9586000000.0,0.6724,6.2257,0.4492,0.2466,4.8619,-0.314,5.5714,0.0,0.0034,3.5069,-0.7784,1.3997,12.3043,0.3059,0.1072,0.1606,0.0,0.0684,0.0,0.0,2021,CINF,
2,66.9293,46.7494,5.5831,9.5745,-0.1241,0.0,2612000000.0,-0.1835,0.0459,0.1015,66.9293,0.5117,-13226000000.0,1.8689,9.1253,10326500000.0,127.2366,9.5738,8.4736,0.2795,0.0027,9.4454,0.09,772.5415,0.2795,107.1215,1.3054,0.2846,0.0326,-20000000.0,0.0,26475000000.0,37.8603,12195500000.0,1.8688,-0.0006,1471000000.0,-9094000000.0,1.2262,11.4659,0.489,0.1178,9.0683,-0.1369,5.5769,0.0,0.0041,2.8851,-0.9391,1.3054,9.2494,0.1614,0.1044,0.0872,0.0,0.0833,0.0,0.0,2020,CINF,
3,60.4412,48.5539,4.6998,14.4936,-0.1471,0.0,2464000000.0,-0.3333,0.0844,0.0869,60.4412,0.3478,-12180000000.0,2.1656,7.2549,8848500000.0,119.6246,14.5933,6.6532,0.2858,0.003,14.3034,0.1581,799.1164,0.2858,128.8592,1.7397,0.3347,0.0348,-24000000.0,0.0,23671500000.0,52.3185,11386000000.0,2.1805,0.0454,1184000000.0,-8406000000.0,0.6049,8.6118,0.4722,0.2257,6.843,-0.2436,5.4228,0.0,0.0038,3.2159,-0.7098,1.7397,7.402,0.252,0.069,0.1161,0.0,0.0897,0.0,0.0,2019,CINF,
