,Net Aquisitions,Dividends Paid (Total),Change in other assets and liabilities,Other financial activities,Repayment/Issuance of Debt (Net),Capital Stock Change,Financing cash flow,Beginning Cash,Investments Change (Net),Net Income,Change in inventories,Stock Based Compensation,Dividends Paid (Common),Ending Cash,Issuance/Purchase of Shares,Assets Liabilities Change (Total),Accounts Receivable Change,Change in Cash,Non Cash Items (Other),Operating Cash Flow,Other investing activities,"Equity Repurchase (Common, Net)",Net Cash/Marketcap,Change in payables and accrued liability,Depreciation & Amortization,Short Term Investments Change (Net),Investing cash flow,Accounts Payable Change,Capital expenditures,Long-Term Investments Change (Net),Change in intangibles (net),year,ticker,Income tax paid,Exchange Rate Adjustment,Other operating activities,Discontinued Operations and Adjustments,"Equity Repurchase (Preffered, Net)",Dividends Paid (Preffered)
1,0.0,-9581300000.0,3311000000.0,187700000.0,14318200000.0,0.0,4924600000.0,23798500000.0,154400400.0,23901800000.0,-2009700000.0,300000.0,-9581300000.0,38391900000.0,0.0,4775301000.0,-5700000.0,14593400000.0,-801800000.0,40092300000.0,259400100.0,0.0,-0.0261,3204700000.0,15227000000.0,0.0,-30150200000.0,275000000.0,-30238100000.0,154400400.0,-325900000.0,2021,TSM,,-273300000.0,-3010000000.0,0.0,,
2,0.0,-9234500000.0,-314400000.0,-72400000.0,6151101000.0,0.0,-3155800000.0,16217900000.0,11000000.0,20824300000.0,-1936300000.0,200000.0,-9234500000.0,23510400000.0,0.0,-903500000.0,10800000.0,7292500000.0,-608000000.0,29297200000.0,359200000.0,0.0,-0.0274,1298000000.0,11813500000.0,0.0,-18012100000.0,38400000.0,-18042500000.0,11000000.0,-339800000.0,2020,TSM,,-836800000.0,-1829100000.0,0.0,,
3,0.0,-8669500000.0,-473700000.0,-144000000.0,-201500000.0,0.0,-9015000000.0,19318400000.0,-375199600.0,13034500000.0,677000000.0,100000.0,-8669500000.0,15225700000.0,0.0,361700000.0,-9300000.0,-4092700000.0,-681400000.0,20566400000.0,731700000.0,0.0,-0.0448,-30200000.0,9591600000.0,-14600000.0,-15339400000.0,197900000.0,-15384000000.0,-360599600.0,-311900000.0,2019,TSM,,-304700000.0,-1740000000.0,0.0,,
4,0.0,-6777000000.0,-578500000.0,-116900000.0,-1114100000.0,0.0,-8008000000.0,18078800000.0,-313800000.0,12987400000.0,-959500000.0,0.0,-6777000000.0,18876700000.0,0.0,-2014500000.0,19600000.0,797900000.0,-297000000.0,18750600000.0,582800000.0,0.0,-0.091,-635300000.0,9557300000.0,8200000.0,-10266900000.0,139200000.0,-10303900000.0,-322000000.0,-232000000.0,2018,TSM,,322200000.0,-1482600000.0,0.0,,
5,-100000.0,-6123900000.0,30700000.0,-217600000.0,-935800000.0,0.0,-7277300000.0,18260900000.0,-548999600.0,13365800000.0,-851200000.0,0.0,-6123900000.0,18670400000.0,0.0,336499900.0,-7200000.0,409500000.0,-585000000.0,19747600000.0,528700000.0,0.0,-0.0702,1064100000.0,8776699000.0,1100000.0,-11341600000.0,100100000.0,-11142400000.0,-550099600.0,-178800000.0,2017,TSM,,-719200000.0,-2146400000.0,0.0,,
6,0.0,-4801900000.0,-1481900000.0,70700000.0,-139200000.0,0.0,-4870400000.0,17366900000.0,-2369000000.0,11911200000.0,567000000.0,0.0,-4801900000.0,16705400000.0,0.0,-464700000.0,-14300000.0,-661500000.0,-275100000.0,16661600000.0,441800000.0,0.0,-0.0786,235000000.0,6908200000.0,0.0,-12204900000.0,229500000.0,-10121800000.0,-2369000000.0,-155900000.0,2016,TSM,,-247800000.0,-1418000000.0,0.0,,
7,17307600.0,-3675530000.0,853921600.0,-100611700.0,97951800.0,1067600.0,-3677122000.0,11291140000.0,1123795000.0,11038510000.0,-20640300.0,0.0,-3675530000.0,17724700000.0,1067600.0,731589700.0,-6072200.0,6433557000.0,-798107800.0,16691200000.0,236644900.0,1067600.0,-0.0896,849200.0,7008925000.0,0.0,-6843244000.0,-96468500.0,-8086049000.0,1123795000.0,-134941900.0,2015,TSM,,260153800.0,-1289716000.0,2566600.0,,
8,0.0,-2461600000.0,-1369600000.0,850500000.0,586600000.0,1500000.0,-1023000000.0,7680200000.0,45900000.0,9559300000.0,-913700000.0,0.0,-2461600000.0,11345900000.0,1500000.0,-1571200000.0,-800000.0,3665700000.0,-39100000.0,13339400000.0,263500000.0,1500000.0,-0.0517,509200000.0,6337100000.0,0.0,-8937400000.0,203700000.0,-9124700000.0,45900000.0,-122100000.0,2014,TSM,,286700000.0,-946700000.0,0.0,,
9,-32900000.0,-2607200000.0,-429500000.0,-68800000.0,3748100000.0,4200000.0,1076300000.0,4807600000.0,194000000.0,7239700000.0,4100000.0,200000.0,-2607200000.0,8136000000.0,4200000.0,-213200000.0,-6800000.0,3328400000.0,-131900000.0,11645500000.0,144500000.0,4200000.0,-0.0069,178900000.0,5235700000.0,0.0,-9421900000.0,40100000.0,-9635300000.0,194000000.0,-92200000.0,2013,TSM,,28500000.0,-484800000.0,0.0,,
0,-246000000.0,-7032000000.0,-214000000.0,-17000000.0,-426000000.0,-8341000000.0,-15816000000.0,12163000000.0,0.0,11495000000.0,-627000000.0,1533000000.0,-7032000000.0,12416000000.0,-8341000000.0,-1654000000.0,-870000000.0,253000000.0,1911000000.0,16736000000.0,3000000.0,-8341000000.0,0.1409,136000000.0,4984000000.0,,-667000000.0,-79000000.0,-424000000.0,0.0,,2022,AVGO,,,,,0.0,
1,37000000.0,-6212000000.0,-472000000.0,-42000000.0,-1591000000.0,-1129000000.0,-8974000000.0,7618000000.0,169000000.0,6736000000.0,-294000000.0,1704000000.0,-6212000000.0,12163000000.0,-1129000000.0,-127000000.0,210000000.0,4545000000.0,1114000000.0,13764000000.0,-8000000.0,-1129000000.0,0.1273,186000000.0,6041000000.0,,-245000000.0,243000000.0,-443000000.0,169000000.0,,2021,AVGO,,,,,0.0,
2,-10654000000.0,-5534000000.0,-71000000.0,-69000000.0,7703000000.0,-489000000.0,1611000000.0,5055000000.0,0.0,2960000000.0,-31000000.0,1976000000.0,-5534000000.0,7618000000.0,-489000000.0,1093000000.0,981000000.0,2563000000.0,1103000000.0,12061000000.0,8000000.0,-489000000.0,0.2369,217000000.0,6905000000.0,,-11109000000.0,-3000000.0,-463000000.0,0.0,,2020,AVGO,,,,,0.0,
3,-15076000000.0,-4235000000.0,-584000000.0,-36000000.0,13234000000.0,-2475000000.0,6488000000.0,4292000000.0,-5000000.0,2724000000.0,250000000.0,2185000000.0,-4235000000.0,5055000000.0,-2475000000.0,-184000000.0,486000000.0,763000000.0,1349000000.0,9697000000.0,-2000000.0,-6154000000.0,0.238,-294000000.0,5808000000.0,,-15422000000.0,-42000000.0,-344000000.0,-5000000.0,,2019,AVGO,,,,,3679000000.0,
